Original,randomforest_optimized,gradientboosting_optimized,stacked_optimized
0.18,0.03524,0.02760026528830788,0.02986137783464086
0.19,0.09076000000000002,0.06304910325876896,0.0876841438871506
0.19,0.19915999999999978,0.18934850316449595,0.1753370050605212
0.19,0.17108000000000015,0.1524180452332533,0.14868548599121958
0.2,0.2252400000000002,0.2369057755314211,0.195664590613405
0.2,0.07059999999999997,0.06553056008150222,0.07563144367101117
0.2,0.23136000000000048,0.2343424296685987,0.1929399501120713
0.21,0.1935600000000005,0.16274185718805018,0.1657840020522111
0.21,0.19648000000000063,0.1881358692161689,0.17555587970537503
0.22,0.20375999999999947,0.18453579994758357,0.17669031302810476
0.22,0.1285200000000004,0.12425502726409375,0.10332285251158255
0.22,0.07948,0.06053253348814151,0.08208889720134813
0.23,0.23675999999999936,0.23895664399457986,0.2053559749070793
0.23,0.2266399999999996,0.23176453552333967,0.19620928101477003
0.23,0.21983999999999945,0.18433803667932636,0.1829192608267982
0.24,0.08020000000000004,0.05190581161658855,0.08185295315555788
0.25,0.25668000000000013,0.2311646038490644,0.21100530376010257
0.25,0.22680000000000014,0.23210949387365673,0.19603680428210402
0.27,0.23692000000000088,0.18879268277604963,0.20087896133224015
0.28,0.2902000000000001,0.23850930931999414,0.2368087910509207
0.28,0.22603999999999982,0.238103688938159,0.20075937659024615
0.3,0.23875999999999967,0.23775873058784194,0.2085529647425841
0.3,0.2879199999999994,0.24303288661557068,0.22517763462304702
0.3,0.25251999999999997,0.2427798632334251,0.1993117447817018
0.32,0.28892000000000007,0.27831610335785384,0.25012945700388667
0.33,0.22975999999999963,0.2329624489300776,0.19527513549131262
0.34,0.27296000000000026,0.27808424901330175,0.2463073655607063
0.35,0.2669600000000001,0.24513774897574794,0.2080433117199706
0.39,0.30519999999999986,0.2448442080416424,0.2523974680027491
0.41,0.2765999999999998,0.28786092221519766,0.24979660187706182
0.41,0.3137199999999995,0.28773471943956064,0.2606864398942076
